Loan Number,Loan Officer,Primary Borrower,Co-Borrowers,Primary Borrower: Email,Co-Borrowers: Email,Subject Property: Address: 1,Subject Property: Address: State,Funding Date,Program,Total Loan Amount,Doc Signed Date,Interest Rate,Custom: PCL Loan Type,LTV,CLTV,DTI
3138XXX,Brad Overlin,Mock Borrower 474,,mock_474@example.com,mock_co_474@example.com,"1046 Mock St, City, WA 12345",WA,6/30/2020,C30,"$510,400.00",6/25/2020,3.125%,Conventional,34.600%,34.603%,0.000%
3152XXX,Brad Overlin,Mock Borrower 475,,mock_475@example.com,mock_co_475@example.com,"1276 Mock St, City, WA 12345",WA,6/26/2020,C30,"$424,709.00",6/24/2020,3.125%,Conventional,80.000%,80.000%,0.000%
2994XXX,Brad Overlin,Mock Borrower 476,,mock_476@example.com,mock_co_476@example.com,"6992 Mock St, City, WA 12345",WA,6/26/2020,FNMA 30Y 95-97%,"$437,038.00",6/25/2020,3.437%,Conventional,97.000%,97.000%,0.000%
3136XXX,Brad Overlin,Mock Borrower 477,,mock_477@example.com,,"3958 Mock St, City, CA 12345",CA,6/24/2020,C30,"$285,500.00",6/19/2020,2.990%,Conventional,78.010%,78.005%,0.000%
3129XXX,Brad Overlin,Mock Borrower 478,,mock_478@example.com,mock_co_478@example.com,"3582 Mock St, City, WA 12345",WA,6/26/2020,C30,"$352,500.00",6/18/2020,3.375%,Conventional,75.000%,75.000%,0.000%
3130XXX,Brad Overlin,Mock Borrower 479,,mock_479@example.com,mock_co_479@example.com,"3993 Mock St, City, OR 12345",OR,6/24/2020,C30,"$303,000.00",6/22/2020,3.125%,Conventional,0.000%,0.000%,0.000%
3081XXX,Brad Overlin,Mock Borrower 480,,mock_480@example.com,mock_co_480@example.com,"3684 Mock St, City, WA 12345",WA,6/23/2020,C 30 HB,"$740,000.00",6/17/2020,3.375%,Conventional,77.490%,85.445%,0.000%
3079XXX,Brad Overlin,Mock Borrower 481,,mock_481@example.com,,"9408 Mock St, City, AZ 12345",AZ,6/15/2020,C30,"$343,000.00",6/11/2020,2.937%,Conventional,70.000%,70.000%,0.000%
3126XXX,Brad Overlin,Mock Borrower 482,,mock_482@example.com,mock_co_482@example.com,"3498 Mock St, City, WA 12345",WA,6/16/2020,C30,"$190,000.00",6/11/2020,3.437%,Conventional,31.670%,31.667%,0.000%
3117XXX,Brad Overlin,Mock Borrower 483,,mock_483@example.com,mock_co_483@example.com,"5457 Mock St, City, WA 12345",WA,6/12/2020,C 30 HB,"$679,960.00",6/9/2020,3.375%,Conventional,80.000%,90.000%,0.000%
3110XXX,Brad Overlin,Mock Borrower 484,,mock_484@example.com,,"1595 Mock St, City, WA 12345",WA,6/12/2020,VA 30,"$252,000.00",6/2/2020,2.750%,VA,78.020%,78.019%,0.000%
3142XXX,Brad Overlin,Mock Borrower 485,,mock_485@example.com,,"1811 Mock St, City, WA 12345",WA,6/8/2020,C30,"$494,000.00",6/4/2020,3.125%,Conventional,95.000%,95.000%,0.000%
3125XXX,Brad Overlin,Mock Borrower 486,,mock_486@example.com,,"7502 Mock St, City, WA 12345",WA,6/9/2020,C30,"$340,000.00",6/8/2020,4.875%,Conventional,85.000%,85.000%,0.000%
3119XXX,Brad Overlin,Mock Borrower 487,,mock_487@example.com,,"837 Mock St, City, WA 12345",WA,6/2/2020,C 30 HB,"$593,248.00",5/29/2020,3.375%,Conventional,91.270%,91.269%,0.000%
3126XXX,Brad Overlin,Mock Borrower 488,,mock_488@example.com,mock_co_488@example.com,"2144 Mock St, City, WA 12345",WA,6/1/2020,VA 30 HB,"$580,000.00",5/29/2020,3.375%,VA,0.000%,0.000%,0.000%
3130XXX,Brad Overlin,Mock Borrower 489,,mock_489@example.com,,"5963 Mock St, City, WA 12345",WA,5/27/2020,C 30 HB,"$652,650.00",5/26/2020,3.375%,Conventional,95.000%,95.000%,0.000%
3115XXX,Brad Overlin,Mock Borrower 490,,mock_490@example.com,,"9282 Mock St, City, WA 12345",WA,5/27/2020,C30,"$348,429.00",5/21/2020,3.187%,Conventional,85.400%,85.399%,0.000%
3110XXX,Brad Overlin,Mock Borrower 491,,mock_491@example.com,mock_co_491@example.com,"3637 Mock St, City, WA 12345",WA,5/26/2020,C15,"$255,000.00",5/20/2020,2.875%,Conventional,42.500%,42.500%,0.000%
3034XXX,Brad Overlin,Mock Borrower 492,,mock_492@example.com,mock_co_492@example.com,"6407 Mock St, City, NV 12345",NV,5/15/2020,C30,"$181,060.00",5/13/2020,3.250%,Conventional,79.990%,79.991%,0.000%
3108XXX,Brad Overlin,Mock Borrower 493,,mock_493@example.com,,"8039 Mock St, City, WA 12345",WA,5/18/2020,C30,"$509,996.00",5/15/2020,3.375%,Conventional,75.000%,75.000%,0.000%
3086XXX,Brad Overlin,Mock Borrower 494,,mock_494@example.com,mock_co_494@example.com,"2640 Mock St, City, WA 12345",WA,5/15/2020,C30,"$345,500.00",5/8/2020,3.562%,Conventional,69.100%,69.100%,0.000%
3089XXX,Brad Overlin,Mock Borrower 495,,mock_495@example.com,,"2000 Mock St, City, WA 12345",WA,5/14/2020,C 30 HB,"$741,500.00",5/11/2020,3.125%,Conventional,63.920%,79.957%,0.000%
3032XXX,Brad Overlin,Mock Borrower 496,,mock_496@example.com,,"1224 Mock St, City, WA 12345",WA,5/11/2020,C30,"$258,400.00",5/1/2020,3.875%,Conventional,80.000%,80.000%,0.000%
3102XXX,Brad Overlin,Mock Borrower 497,,mock_497@example.com,,"575 Mock St, City, WA 12345",WA,5/13/2020,C15,"$330,000.00",5/8/2020,2.990%,Conventional,55.460%,55.462%,0.000%
3084XXX,Brad Overlin,Mock Borrower 498,,mock_498@example.com,mock_co_498@example.com,"3194 Mock St, City, WA 12345",WA,5/11/2020,C30,"$264,000.00",5/4/2020,3.437%,Conventional,60.000%,60.000%,0.000%
3071XXX,Brad Overlin,Mock Borrower 499,,mock_499@example.com,mock_co_499@example.com,"3199 Mock St, City, WA 12345",WA,5/6/2020,C30,"$384,000.00",5/1/2020,3.312%,Conventional,34.910%,34.909%,0.000%
3079XXX,Brad Overlin,Mock Borrower 500,,mock_500@example.com,mock_co_500@example.com,"8096 Mock St, City, WA 12345",WA,5/4/2020,C30,"$328,000.00",4/29/2020,3.187%,Conventional,59.640%,59.636%,0.000%
3103XXX,Brad Overlin,Mock Borrower 501,,mock_501@example.com,mock_co_501@example.com,"4782 Mock St, City, WA 12345",WA,4/30/2020,C30,"$508,250.00",4/29/2020,3.187%,Conventional,95.000%,95.000%,0.000%
3052XXX,Brad Overlin,Mock Borrower 502,,mock_502@example.com,mock_co_502@example.com,"2459 Mock St, City, WA 12345",WA,4/27/2020,C30,"$427,000.00",4/22/2020,3.437%,Conventional,74.910%,74.912%,0.000%
3056XXX,Brad Overlin,Mock Borrower 503,,mock_503@example.com,,"1656 Mock St, City, WA 12345",WA,4/22/2020,C30,"$392,837.00",4/16/2020,3.500%,Conventional,85.400%,85.399%,0.000%
3054XXX,Brad Overlin,Mock Borrower 504,,mock_504@example.com,mock_co_504@example.com,"1129 Mock St, City, CA 12345",CA,4/20/2020,C30,"$256,000.00",4/14/2020,3.250%,Conventional,79.260%,79.257%,0.000%
3059XXX,Brad Overlin,Mock Borrower 505,,mock_505@example.com,mock_co_505@example.com,"1460 Mock St, City, WA 12345",WA,4/20/2020,C 30 HB,"$569,000.00",4/14/2020,3.375%,Conventional,66.940%,70.902%,0.000%
3062XXX,Brad Overlin,Mock Borrower 506,,mock_506@example.com,mock_co_506@example.com,"6503 Mock St, City, WA 12345",WA,4/20/2020,C30,"$412,000.00",4/14/2020,3.250%,Conventional,63.380%,63.385%,0.000%
2996XXX,Brad Overlin,Mock Borrower 507,,mock_507@example.com,mock_co_507@example.com,"6248 Mock St, City, WA 12345",WA,4/21/2020,Gold Plus NonQM J30,"$1,488,000.00",4/20/2020,3.500%,Conventional,80.000%,80.000%,0.000%
3098XXX,Brad Overlin,Mock Borrower 508,,mock_508@example.com,mock_co_508@example.com,"169 Mock St, City, WA 12345",WA,4/21/2020,VA 30 HB,"$593,000.00",4/20/2020,3.500%,VA,100.000%,100.000%,0.000%
3068XXX,Brad Overlin,Mock Borrower 509,,mock_509@example.com,,"6437 Mock St, City, WA 12345",WA,4/17/2020,C30,"$365,000.00",4/13/2020,3.187%,Conventional,65.180%,65.179%,0.000%
3041XXX,Brad Overlin,Mock Borrower 510,,mock_510@example.com,,"6361 Mock St, City, OR 12345",OR,4/17/2020,C30,"$363,000.00",4/15/2020,4.875%,Conventional,60.000%,60.000%,0.000%
3067XXX,Brad Overlin,Mock Borrower 511,,mock_511@example.com,mock_co_511@example.com,"9220 Mock St, City, WA 12345",WA,4/20/2020,C15,"$355,000.00",4/15/2020,2.500%,Conventional,37.770%,37.766%,0.000%
3064XXX,Brad Overlin,Mock Borrower 512,,mock_512@example.com,mock_co_512@example.com,"508 Mock St, City, WA 12345",WA,4/13/2020,C30,"$355,500.00",4/6/2020,3.187%,Conventional,49.030%,49.035%,0.000%
3059XXX,Brad Overlin,Mock Borrower 513,,mock_513@example.com,mock_co_513@example.com,"2972 Mock St, City, WA 12345",WA,4/14/2020,C 30 HB,"$585,000.00",4/9/2020,3.125%,Conventional,73.130%,73.125%,0.000%
3061XXX,Brad Overlin,Mock Borrower 514,,mock_514@example.com,,"5989 Mock St, City, WA 12345",WA,4/14/2020,C 30 HB,"$525,000.00",4/9/2020,3.375%,Conventional,70.000%,70.000%,0.000%
3060XXX,Brad Overlin,Mock Borrower 515,,mock_515@example.com,mock_co_515@example.com,"502 Mock St, City, WA 12345",WA,4/14/2020,C30,"$510,400.00",4/9/2020,3.187%,Conventional,26.860%,26.863%,0.000%
3055XXX,Brad Overlin,Mock Borrower 516,,mock_516@example.com,,"179 Mock St, City, WA 12345",WA,4/13/2020,C30,"$218,500.00",4/7/2020,3.437%,Conventional,43.270%,43.267%,0.000%
3062XXX,Brad Overlin,Mock Borrower 517,,mock_517@example.com,,"6561 Mock St, City, OR 12345",OR,4/10/2020,C30,"$245,000.00",4/6/2020,3.625%,Conventional,64.300%,64.305%,0.000%
2996XXX,Brad Overlin,Mock Borrower 518,,mock_518@example.com,,"7933 Mock St, City, WA 12345",WA,4/10/2020,VA 30,"$369,303.00",4/9/2020,3.625%,VA,100.000%,100.000%,0.000%
3058XXX,Brad Overlin,Mock Borrower 519,,mock_519@example.com,mock_co_519@example.com,"1683 Mock St, City, WA 12345",WA,4/10/2020,C20,"$453,750.00",4/6/2020,3.250%,Conventional,74.140%,74.142%,0.000%
3091XXX,Brad Overlin,Mock Borrower 520,,mock_520@example.com,mock_co_520@example.com,"2113 Mock St, City, WA 12345",WA,4/10/2020,C30,"$314,000.00",4/10/2020,4.625%,Conventional,80.000%,80.000%,0.000%
3059XXX,Brad Overlin,Mock Borrower 521,,mock_521@example.com,mock_co_521@example.com,"3588 Mock St, City, WA 12345",WA,4/1/2020,FNMA 30Y 95-97%,"$412,250.00",3/31/2020,3.625%,Conventional,97.000%,97.000%,0.000%
3063XXX,Brad Overlin,Mock Borrower 522,,mock_522@example.com,,"2957 Mock St, City, WA 12345",WA,4/6/2020,VA IRRRL 30 HB,"$528,124.00",3/31/2020,3.250%,VA,100.090%,100.095%,0.000%
2773XXX,Brad Overlin,Mock Borrower 523,,mock_523@example.com,mock_co_523@example.com,"9403 Mock St, City, OR 12345",OR,3/30/2020,VA IRRRL 30,"$340,000.00",3/25/2020,2.875%,VA,85.000%,85.000%,0.000%
3048XXX,Brad Overlin,Mock Borrower 524,,mock_524@example.com,mock_co_524@example.com,"2808 Mock St, City, WA 12345",WA,3/30/2020,C30,"$455,000.00",3/23/2020,3.625%,Conventional,65.940%,65.942%,0.000%
3035XXX,Brad Overlin,Mock Borrower 525,,mock_525@example.com,,"7597 Mock St, City, WA 12345",WA,3/31/2020,C 30 HB,"$631,750.00",3/27/2020,3.500%,Conventional,0.000%,0.000%,0.000%
3055XXX,Brad Overlin,Mock Borrower 526,,mock_526@example.com,mock_co_526@example.com,"5487 Mock St, City, WA 12345",WA,3/27/2020,C30,"$340,500.00",3/23/2020,3.375%,Conventional,70.210%,70.206%,0.000%
3039XXX,Brad Overlin,Mock Borrower 527,,mock_527@example.com,mock_co_527@example.com,"9100 Mock St, City, WA 12345",WA,3/25/2020,C 30 HB,"$741,500.00",3/24/2020,3.625%,Conventional,75.740%,75.741%,0.000%
3040XXX,Brad Overlin,Mock Borrower 528,,mock_528@example.com,,"9795 Mock St, City, WA 12345",WA,3/23/2020,C30,"$273,000.00",3/17/2020,3.625%,Conventional,62.050%,62.045%,0.000%
3041XXX,Brad Overlin,Mock Borrower 529,,mock_529@example.com,mock_co_529@example.com,"695 Mock St, City, WA 12345",WA,3/16/2020,C30,"$340,000.00",3/9/2020,3.937%,Conventional,78.520%,78.522%,0.000%
2987XXX,Brad Overlin,Mock Borrower 530,,mock_530@example.com,mock_co_530@example.com,"9883 Mock St, City, WA 12345",WA,3/13/2020,FHA 30,"$417,302.00",3/12/2020,3.250%,FHA,96.500%,96.500%,0.000%
3041XXX,Brad Overlin,Mock Borrower 531,,mock_531@example.com,mock_co_531@example.com,"3872 Mock St, City, WA 12345",WA,3/10/2020,C30,"$510,400.00",3/5/2020,3.625%,Conventional,63.800%,63.800%,0.000%
3010XXX,Brad Overlin,Mock Borrower 532,,mock_532@example.com,,"8058 Mock St, City, WA 12345",WA,3/10/2020,VA 30 HB,"$580,000.00",3/9/2020,3.500%,VA,100.000%,100.000%,0.000%
3031XXX,Brad Overlin,Mock Borrower 533,,mock_533@example.com,,"5536 Mock St, City, TX 12345",TX,3/6/2020,C30,"$229,000.00",3/5/2020,3.375%,Conventional,77.360%,77.365%,0.000%
3050XXX,Brad Overlin,Mock Borrower 534,,mock_534@example.com,mock_co_534@example.com,"3021 Mock St, City, WA 12345",WA,2/28/2020,C30,"$448,180.00",2/28/2020,3.500%,Conventional,90.910%,90.909%,0.000%
3027XXX,Brad Overlin,Mock Borrower 535,,mock_535@example.com,mock_co_535@example.com,"6951 Mock St, City, NV 12345",NV,2/26/2020,C30,"$256,000.00",2/5/2020,3.937%,Conventional,80.000%,80.000%,0.000%
2837XXX,Brad Overlin,Mock Borrower 536,,mock_536@example.com,,"7650 Mock St, City, WA 12345",WA,2/28/2020,C30,"$450,000.00",2/25/2020,3.625%,Conventional,66.670%,66.667%,0.000%
3024XXX,Brad Overlin,Mock Borrower 537,,mock_537@example.com,mock_co_537@example.com,"7374 Mock St, City, WA 12345",WA,2/18/2020,C30,"$213,702.00",2/10/2020,3.875%,Conventional,85.480%,85.481%,0.000%
3034XXX,Brad Overlin,Mock Borrower 538,,mock_538@example.com,mock_co_538@example.com,"9644 Mock St, City, WA 12345",WA,2/21/2020,C 30 HB,"$741,500.00",2/19/2020,5.125%,Conventional,71.640%,71.642%,0.000%
3023XXX,Brad Overlin,Mock Borrower 539,,mock_539@example.com,mock_co_539@example.com,"5956 Mock St, City, WA 12345",WA,2/14/2020,C15,"$510,000.00",2/10/2020,3.500%,Conventional,56.670%,56.667%,0.000%
3020XXX,Brad Overlin,Mock Borrower 540,,mock_540@example.com,,"1205 Mock St, City, WA 12345",WA,2/18/2020,C 30 HB,"$620,000.00",2/12/2020,3.990%,Conventional,67.390%,67.391%,0.000%
3022XXX,Brad Overlin,Mock Borrower 541,,mock_541@example.com,mock_co_541@example.com,"337 Mock St, City, WA 12345",WA,2/7/2020,C30,"$317,000.00",2/3/2020,3.500%,Conventional,37.290%,37.294%,0.000%
3022XXX,Brad Overlin,Mock Borrower 542,,mock_542@example.com,mock_co_542@example.com,"6505 Mock St, City, WA 12345",WA,1/31/2020,WSHFC Advantage 2nd Lien ,"$11,640.00",1/30/2020,0.000%,Conventional,0.000%,100.880%,0.000%
2962XXX,Brad Overlin,Mock Borrower 543,,mock_543@example.com,mock_co_543@example.com,"140 Mock St, City, WA 12345",WA,1/24/2020,C30,"$331,539.00",1/17/2020,3.750%,Conventional,95.000%,94.997%,0.000%
3000XXX,Brad Overlin,Mock Borrower 544,,mock_544@example.com,,"7445 Mock St, City, CA 12345",CA,1/10/2020,C30,"$194,750.00",1/10/2020,3.812%,Conventional,95.000%,95.000%,0.000%
3004XXX,Brad Overlin,Mock Borrower 545,,mock_545@example.com,mock_co_545@example.com,"2418 Mock St, City, WA 12345",WA,1/10/2020,VA IRRRL 30 HB,"$750,735.00",1/6/2020,3.500%,VA,94.680%,94.677%,0.000%
3010XXX,Brad Overlin,Mock Borrower 546,,mock_546@example.com,,"6845 Mock St, City, AZ 12345",AZ,1/7/2020,C30,"$315,000.00",1/6/2020,3.750%,Conventional,90.000%,90.000%,0.000%
2971XXX,Brad Overlin,Mock Borrower 547,,mock_547@example.com,mock_co_547@example.com,"2671 Mock St, City, AZ 12345",AZ,1/13/2020,C30,"$244,000.00",1/7/2020,4.125%,Conventional,80.000%,80.000%,0.000%
3541XXX,Brad Overlin,Mock Borrower 548,,mock_548@example.com,mock_co_548@example.com,"2568 Mock St, City, WA 12345",WA,7/29/2021,C30,"$536,841.00",7/28/2021,2.937%,Conventional,90.990%,90.990%,0.000%
3552XXX,Brad Overlin,Mock Borrower 549,,mock_549@example.com,mock_co_549@example.com,"4359 Mock St, City, WA 12345",WA,7/26/2021,VA 30 HB,"$748,398.00",7/24/2021,3.250%,VA,95.000%,95.000%,0.000%
3489XXX,Brad Overlin,Mock Borrower 550,,mock_550@example.com,mock_co_550@example.com,"978 Mock St, City, WA 12345",WA,7/15/2021,VA 30 HB,"$1,014,000.00",7/1/2021,3.250%,VA,85.110%,85.106%,0.000%
3509XXX,Brad Overlin,Mock Borrower 551,,mock_551@example.com,mock_co_551@example.com,"7988 Mock St, City, CA 12345",CA,7/8/2021,J 30 Amber Express,"$1,290,000.00",7/1/2021,2.875%,Conventional,69.730%,69.730%,0.000%
3507XXX,Brad Overlin,Mock Borrower 552,,mock_552@example.com,mock_co_552@example.com,"4195 Mock St, City, NV 12345",NV,7/6/2021,C30,"$454,000.00",7/1/2021,3.250%,Conventional,79.930%,79.930%,0.000%
3510XXX,Brad Overlin,Mock Borrower 553,,mock_553@example.com,mock_co_553@example.com,"9469 Mock St, City, WA 12345",WA,7/2/2021,C30,"$250,000.00",6/29/2021,3.000%,Conventional,31.250%,31.250%,0.000%
3524XXX,Brad Overlin,Mock Borrower 554,,mock_554@example.com,,"271 Mock St, City, WA 12345",WA,6/30/2021,HomeReady 30,"$170,000.00",6/25/2021,2.750%,Conventional,85.000%,85.000%,0.000%
3469XXX,Brad Overlin,Mock Borrower 555,,mock_555@example.com,,"7781 Mock St, City, WA 12345",WA,6/24/2021,C 30 HB,"$742,000.00",6/23/2021,3.500%,Conventional,70.000%,89.990%,0.000%
3472XXX,Brad Overlin,Mock Borrower 556,,mock_556@example.com,,"7421 Mock St, City, WA 12345",WA,6/25/2021,C30,"$541,405.00",6/24/2021,2.990%,Conventional,95.000%,95.000%,0.000%
3395XXX,Brad Overlin,Mock Borrower 557,,mock_557@example.com,,"4932 Mock St, City, WA 12345",WA,6/25/2021,C30,"$548,250.00",6/21/2021,3.375%,Conventional,68.530%,68.531%,0.000%
3451XXX,Brad Overlin,Mock Borrower 558,,mock_558@example.com,mock_co_558@example.com,"2591 Mock St, City, WA 12345",WA,6/23/2021,WSHFC HFA Preferred (Conv.) w/ Adv DPA MFD HSG,"$332,500.00",6/21/2021,4.625%,Conventional,95.000%,98.800%,0.000%
3489XXX,Brad Overlin,Mock Borrower 559,,mock_559@example.com,mock_co_559@example.com,"3289 Mock St, City, WA 12345",WA,6/23/2021,WSHFC Advantage 2nd Lien ,"$13,300.00",6/21/2021,0.000%,Conventional,0.000%,98.800%,0.000%
3495XXX,Brad Overlin,Mock Borrower 560,,mock_560@example.com,,"5882 Mock St, City, WA 12345",WA,6/23/2021,C30,"$201,000.00",6/17/2021,2.750%,Conventional,53.600%,53.600%,0.000%
3516XXX,Brad Overlin,Mock Borrower 561,,mock_561@example.com,,"3400 Mock St, City, WA 12345",WA,6/18/2021,C30,"$446,950.00",6/15/2021,3.125%,Conventional,94.990%,94.995%,0.000%
3505XXX,Brad Overlin,Mock Borrower 562,,mock_562@example.com,,"1477 Mock St, City, WA 12345",WA,6/18/2021,C30,"$285,000.00",6/14/2021,2.990%,Conventional,55.660%,55.664%,0.000%
3502XXX,Brad Overlin,Mock Borrower 563,,mock_563@example.com,mock_co_563@example.com,"595 Mock St, City, TX 12345",TX,6/15/2021,VA 30,"$503,000.00",6/14/2021,3.000%,VA,100.000%,100.000%,0.000%
3139XXX,Brad Overlin,Mock Borrower 564,,mock_564@example.com,mock_co_564@example.com,"3359 Mock St, City, WA 12345",WA,6/16/2021,J 30 Amber Express,"$1,284,000.00",6/15/2021,3.125%,Conventional,80.000%,80.000%,0.000%
3478XXX,Brad Overlin,Mock Borrower 565,,mock_565@example.com,mock_co_565@example.com,"6784 Mock St, City, WA 12345",WA,6/9/2021,C30,"$513,500.00",6/4/2021,2.990%,Conventional,55.510%,55.514%,0.000%
3480XXX,Brad Overlin,Mock Borrower 566,,mock_566@example.com,mock_co_566@example.com,"9399 Mock St, City, WA 12345",WA,6/8/2021,C30,"$445,500.00",6/2/2021,2.990%,Conventional,79.980%,79.982%,0.000%
3459XXX,Brad Overlin,Mock Borrower 567,,mock_567@example.com,mock_co_567@example.com,"8272 Mock St, City, WA 12345",WA,6/7/2021,C30,"$337,500.00",6/2/2021,3.250%,Conventional,73.530%,73.529%,0.000%
3482XXX,Brad Overlin,Mock Borrower 568,,mock_568@example.com,mock_co_568@example.com,"5985 Mock St, City, WA 12345",WA,6/4/2021,J 30 Amber Express,"$1,000,001.00",6/2/2021,2.375%,Conventional,45.250%,45.249%,0.000%
3417XXX,Brad Overlin,Mock Borrower 569,,mock_569@example.com,mock_co_569@example.com,"5774 Mock St, City, WA 12345",WA,6/2/2021,C 30 HB,"$776,250.00",5/25/2021,2.990%,Conventional,82.140%,82.143%,0.000%
3462XXX,Brad Overlin,Mock Borrower 570,,mock_570@example.com,,"627 Mock St, City, WA 12345",WA,6/2/2021,FHA 30,"$370,662.00",5/28/2021,3.250%,FHA,96.500%,96.500%,0.000%
3369XXX,Brad Overlin,Mock Borrower 571,,mock_571@example.com,,"572 Mock St, City, OR 12345",OR,6/2/2021,C30,"$483,550.00",6/1/2021,3.062%,Conventional,95.000%,95.000%,0.000%
3441XXX,Brad Overlin,Mock Borrower 572,,mock_572@example.com,mock_co_572@example.com,"2526 Mock St, City, CA 12345",CA,6/1/2021,C30,"$486,000.00",5/26/2021,2.990%,Conventional,80.000%,80.000%,0.000%
